track_id,error_category,axes,optimal_lambda,optimal_F,optimal_CMLt,optimal_AMLt,default_F,default_CMLt,default_AMLt,delta_F,F_lam1,F_lam2,F_lam5,F_lam10,F_lam20,F_lam30,F_lam50,F_lam75,F_lam100,F_lam150,F_lam200,F_lam300,F_lam500
smc_033,continuity_drift,Weak beat cues;Tempo instability;Metrical ambiguity,30,0.7547169811320754,0.8301886792452831,0.8301886792452831,0.7169811320754716,0.7924528301886793,0.7924528301886793,0.037735849056603765,0.7169811320754716,0.7169811320754716,0.7169811320754716,0.7358490566037735,0.7358490566037735,0.7547169811320754,0.7547169811320754,0.7169811320754716,0.7169811320754716,0.7169811320754716,0.7169811320754716,0.6981132075471698,0.6415094339622641
smc_034,good,Tempo instability,1,0.9459459459459459,1.0,1.0,0.9459459459459459,1.0,1.0,0.0,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459
smc_035,other,Weak beat cues,1,0.7941176470588235,1.0,1.0,0.7941176470588235,1.0,1.0,0.0,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235
smc_036,other,Weak beat cues;Tempo instability,1,0.7032967032967034,0.2909090909090909,0.5070422535211268,0.6126126126126126,0.0,0.8666666666666667,0.09068409068409078,0.7032967032967034,0.7032967032967034,0.7032967032967034,0.7021276595744681,0.6476190476190476,0.6355140186915887,0.6306306306306306,0.6306306306306306,0.6126126126126126,0.6126126126126126,0.5945945945945945,0.6055045871559632,0.6055045871559632
smc_037,other,Weak beat cues;Tempo instability;Structural/context,50,0.8358208955223881,0.8235294117647058,0.8235294117647058,0.8059701492537314,0.8235294117647058,0.8235294117647058,0.02985074626865669,0.7647058823529412,0.7647058823529412,0.7647058823529412,0.7647058823529412,0.7941176470588235,0.8059701492537314,0.8358208955223881,0.8358208955223881,0.8059701492537314,0.8358208955223881,0.7272727272727272,0.7272727272727272,0.6865671641791046
smc_038,continuity_drift,Weak beat cues;Tempo instability,1,0.7777777777777778,0.9444444444444444,0.9444444444444444,0.7777777777777778,0.9444444444444444,0.9444444444444444,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7605633802816902,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
smc_041,good,Weak beat cues,200,0.9879518072289156,0.9761904761904762,0.9761904761904762,0.963855421686747,0.9523809523809523,0.9523809523809523,0.02409638554216864,0.9397590361445782,0.963855421686747,0.963855421686747,0.963855421686747,0.963855421686747,0.963855421686747,0.963855421686747,0.963855421686747,0.963855421686747,0.963855421686747,0.9879518072289156,0.9879518072289156,0.9879518072289156
smc_042,good,Weak beat cues;Tempo instability;Metrical ambiguity;Structural/context,1,0.7058823529411764,0.2926829268292683,0.5471698113207547,0.6,0.0,1.0,0.10588235294117643,0.7058823529411764,0.7058823529411764,0.6153846153846153,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
smc_043,good,Tempo instability;Metrical ambiguity;Structural/context,2,0.7010309278350516,0.56,0.56,0.5739130434782608,0.4461538461538462,0.4461538461538462,0.12711788435679083,0.6804123711340208,0.7010309278350516,0.7010309278350516,0.6464646464646464,0.6019417475728155,0.6019417475728155,0.5825242718446602,0.5739130434782608,0.5739130434782608,0.5739130434782608,0.5689655172413792,0.5517241379310344,0.4347826086956522
smc_044,continuity_drift,Weak beat cues;Tempo instability,200,0.8372093023255814,0.9767441860465116,0.9767441860465116,0.8139534883720931,0.8837209302325582,0.8837209302325582,0.023255813953488302,0.8,0.8,0.8,0.8,0.8139534883720931,0.8139534883720931,0.8139534883720931,0.7586206896551724,0.8139534883720931,0.8139534883720931,0.8372093023255814,0.8139534883720931,0.7499999999999999
