track_id,error_category,gt_bpm,optimal_lambda,optimal_F,optimal_CMLt,optimal_AMLt,default_lambda_F,default_lambda_CMLt,default_lambda_AMLt
smc_276,octave_error,188.09,50,0.9954,0.9909,0.9909,0.9954,0.9909,0.9909
smc_277,other,52.45,30,1.0,1.0,1.0,1.0,1.0,1.0
smc_278,good,104.55,1,1.0,1.0,1.0,1.0,1.0,1.0
smc_279,good,104.17,1,1.0,1.0,1.0,1.0,1.0,1.0
smc_280,good,85.23,1,1.0,1.0,1.0,1.0,1.0,1.0
smc_281,good,93.6,1,1.0,1.0,1.0,1.0,1.0,1.0
smc_282,good,93.97,1,0.9818,0.9636,0.9636,0.9818,0.9636,0.9636
smc_283,good,85.23,1,1.0,1.0,1.0,1.0,1.0,1.0
smc_284,good,100.0,1,1.0,1.0,1.0,1.0,1.0,1.0
smc_285,other,120.0,150,0.4143,0.4143,0.5429,0.2714,0.2571,0.6857
smc_286,good,87.98,1,1.0,1.0,1.0,1.0,1.0,1.0
smc_287,good,101.69,1,1.0,0.9833,0.9833,1.0,0.9833,0.9833
smc_288,good,101.35,1,1.0,1.0,1.0,1.0,1.0,1.0
smc_289,good,99.85,1,1.0,1.0,1.0,1.0,1.0,1.0
