track_id,F,CMLt,AMLt
smc_253,0.9743589743589743,1.0,1.0
smc_254,1.0,1.0,1.0
smc_255,0.8918918918918919,0.972972972972973,0.972972972972973
smc_256,0.911764705882353,0.75,0.75
smc_257,0.9166666666666667,0.8421052631578947,0.8421052631578947
smc_258,0.9807692307692307,0.9807692307692307,0.9807692307692307
smc_259,0.78125,0.6578947368421053,0.6578947368421053
smc_260,0.7358490566037735,0.7735849056603774,0.7735849056603774
smc_261,0.7714285714285715,0.6944444444444444,0.6944444444444444
smc_262,0.848,0.7619047619047619,0.7619047619047619
smc_263,0.9310344827586207,1.0,1.0
smc_264,1.0,1.0,1.0
smc_265,1.0,1.0,1.0
smc_266,0.8363636363636364,0.8928571428571429,0.8928571428571429
smc_269,1.0,1.0,1.0
smc_271,1.0,1.0,1.0
smc_272,0.33333333333333337,0.0,0.0
smc_273,1.0,1.0,1.0
smc_274,1.0,1.0,1.0
smc_275,1.0,1.0,1.0
smc_276,0.958904109589041,0.9272727272727272,0.9272727272727272
smc_277,1.0,1.0,1.0
smc_278,1.0,1.0,1.0
smc_279,1.0,1.0,1.0
smc_280,1.0,1.0,1.0
smc_281,1.0,1.0,1.0
smc_282,0.9818181818181818,0.9636363636363636,0.9636363636363636
smc_283,1.0,1.0,1.0
smc_284,1.0,1.0,1.0
smc_285,1.0,1.0,1.0
smc_286,1.0,1.0,1.0
smc_287,1.0,1.0,1.0
smc_288,1.0,1.0,1.0
smc_289,1.0,1.0,1.0
