track_id,n_beats_orig,n_beats_clean,n_removed,n_inserted,orig_F,clean_F,delta_F,orig_CMLt,clean_CMLt,delta_CMLt,orig_AMLt,clean_AMLt
smc_179,37,52,0,15,0.6038,0.4776,-0.1262,0.2188,0.0,-0.2188,0.4634,0.6739
smc_181,111,111,0,0,0.3359,0.3359,0.0,0.0,0.0,0.0,0.0,0.0
smc_182,46,47,0,1,0.8193,0.8193,0.0,0.9762,0.9762,0.0,0.9762,0.9762
smc_184,33,39,0,6,0.8308,0.8529,0.0222,0.8824,0.9706,0.0882,0.8824,0.9706
smc_187,41,44,2,5,0.3396,0.2857,-0.0539,0.3235,0.2162,-0.1073,0.3235,0.2973
smc_188,30,32,0,2,0.9091,0.9286,0.0195,0.8571,0.9286,0.0714,0.8571,0.9286
smc_190,60,64,0,4,0.4819,0.4598,-0.0222,0.1321,0.0877,-0.0444,0.3898,0.4576
smc_192,19,22,0,3,0.2857,0.2703,-0.0154,0.4444,0.3684,-0.076,0.4444,0.3684
smc_193,45,47,0,2,0.8706,0.8706,0.0,0.8837,0.8837,0.0,0.8837,0.8837
smc_194,16,20,1,5,0.2449,0.2308,-0.0141,0.0,0.0,0.0,0.1176,0.2941
smc_195,52,58,1,7,0.3544,0.3294,-0.025,0.0,0.0,0.0,0.3864,0.34
smc_197,24,24,0,0,0.4286,0.4286,0.0,1.0,1.0,0.0,1.0,1.0
smc_198,81,81,0,0,0.7227,0.7227,0.0,0.5797,0.5797,0.0,0.5797,0.5797
smc_199,61,63,3,5,0.3579,0.3265,-0.0314,0.2364,0.2414,0.005,0.2364,0.2414
smc_202,34,38,2,6,0.2188,0.209,-0.0098,0.25,0.1714,-0.0786,0.25,0.1714
smc_203,74,77,0,3,0.25,0.2617,0.0117,0.0,0.0,0.0,0.013,0.013
smc_204,62,67,0,5,0.3063,0.3103,0.004,0.1228,0.1452,0.0224,0.1228,0.1452
smc_205,57,58,0,1,0.8636,0.8539,-0.0097,0.7826,0.766,-0.0167,0.7826,0.766
smc_206,44,47,3,6,0.64,0.5714,-0.0686,0.5122,0.4651,-0.0471,0.5122,0.4651
smc_207,76,76,0,0,0.9552,0.9552,0.0,1.0,1.0,0.0,1.0,1.0
smc_208,37,37,0,0,0.8125,0.8125,0.0,0.8788,0.8788,0.0,0.8788,0.8788
smc_209,46,49,0,3,0.642,0.6265,-0.0155,0.8537,0.814,-0.0397,0.8537,0.814
smc_211,42,44,0,2,0.5647,0.5581,-0.0066,0.6327,0.6327,0.0,0.6327,0.6327
smc_212,27,32,1,6,0.4783,0.4314,-0.0469,0.5,0.4444,-0.0556,0.5,0.4444
smc_213,39,41,0,2,0.5278,0.5135,-0.0143,0.7105,0.7632,0.0526,0.7105,0.7632
smc_214,26,26,0,0,0.4783,0.4783,0.0,0.5417,0.5417,0.0,0.5417,0.5417
smc_215,37,38,0,1,0.8788,0.8657,-0.0131,0.8788,0.9118,0.033,0.8788,0.9118
smc_216,39,41,1,3,0.7324,0.7222,-0.0102,0.8333,0.9167,0.0833,0.8333,0.9167
smc_217,35,35,0,0,0.7742,0.7742,0.0,1.0,1.0,0.0,1.0,1.0
