track_id,fold,gt_median_ibi,pred_median_ibi,acf_period,ibi_ratio,detected_error,orig_F,corrected_F,delta_F,subsample_F,interpolate_F,oracle_F,oracle_choice,orig_CMLt,orig_AMLt
smc_235,6,0.93,0.83,0.8,1.0375,correct,0.5833,0.5833,0.0,0.3704,0.3925,0.5833,original,0.6111,0.6111
smc_236,7,0.9435,0.94,0.92,1.0217,correct,0.75,0.75,0.0,0.5106,0.5,0.75,original,0.8485,0.8485
smc_237,0,0.929,0.94,0.86,1.093,correct,0.507,0.507,0.0,0.2182,0.3689,0.507,original,0.7368,0.7368
smc_239,6,1.244,0.78,0.58,1.3448,correct,0.4127,0.4127,0.0,0.2222,0.3093,0.4127,original,0.2571,0.2571
smc_241,0,0.796,0.8,0.8,1.0,correct,0.3409,0.3409,0.0,0.2462,0.2256,0.3409,original,0.6889,0.6889
smc_242,4,0.76,0.76,0.76,1.0,correct,0.7033,0.7033,0.0,0.5,0.4818,0.7033,original,0.8696,0.8696
smc_243,1,1.172,1.2,1.12,1.0714,correct,0.8148,0.8148,0.0,0.5366,0.55,0.8148,original,0.8519,0.8519
smc_244,2,0.547,1.06,1.06,1.0,correct,0.2553,0.2553,0.0,0.1026,0.352,0.352,interpolate,0.0,0.4688
smc_248,1,0.617,1.14,1.14,1.0,correct,0.3947,0.3947,0.0,0.2188,0.52,0.52,interpolate,0.0769,0.4231
smc_249,6,0.8734,0.88,0.88,1.0,correct,0.88,0.88,0.0,0.5818,0.5789,0.88,original,0.8718,0.8718
smc_251,1,0.5165,0.52,0.52,1.0,correct,0.9023,0.9023,0.0,0.6122,0.5941,0.9023,original,0.8986,0.8986
smc_252,2,0.647,0.66,0.66,1.0,correct,0.9444,0.9444,0.0,0.6173,0.6335,0.9444,original,1.0,1.0
smc_253,4,0.9143,0.92,0.92,1.0,correct,0.641,0.641,0.0,0.4407,0.4483,0.641,original,0.6923,0.6923
smc_254,3,0.604,1.38,1.34,1.0299,correct,0.1687,0.1687,0.0,0.0857,0.3704,0.3704,interpolate,0.0175,0.2857
smc_255,2,0.9388,0.92,0.96,0.9583,correct,0.7945,0.7945,0.0,0.4364,0.5688,0.7945,original,0.6757,0.6757
smc_256,1,0.884,1.67,0.98,1.7041,half,0.6316,0.7436,0.112,0.383,0.7436,0.7436,interpolate,0.0,0.7143
smc_257,7,0.3865,0.7,0.72,0.9722,correct,0.6218,0.6218,0.0,0.383,0.6627,0.6627,interpolate,0.1912,0.3725
smc_258,3,0.675,0.39,0.42,0.9286,correct,0.3188,0.3188,0.0,0.2316,0.3214,0.3214,interpolate,0.0698,0.0698
smc_259,4,0.748,0.76,0.76,1.0,correct,0.5588,0.5588,0.0,0.4255,0.3636,0.5588,original,0.5,0.5
smc_260,0,0.5922,0.58,0.56,1.0357,correct,0.844,0.844,0.0,0.5185,0.5732,0.844,original,0.7321,0.7321
smc_261,1,0.85,0.8,0.78,1.0256,correct,0.4615,0.4615,0.0,0.2807,0.3333,0.4615,original,0.4762,0.4762
smc_262,4,0.534,0.6,0.54,1.1111,correct,0.6804,0.6804,0.0,0.425,0.5846,0.6804,original,0.3651,0.3651
smc_263,3,1.239,1.22,1.24,0.9839,correct,0.7213,0.7213,0.0,0.5333,0.4731,0.7213,original,0.6875,0.6875
smc_264,2,0.8242,0.4,0.4,1.0,correct,0.4462,0.4462,0.0,0.3488,0.2661,0.4462,original,0.0,0.6705
